by State View
"January 1, 2026 - January 31, 2026"
Region (User location),Currency code,Cost,Clicks,Conversions,Cost / conv.,Conv. rate,Conv. value / cost,Avg. Sale
Florida,USD,104.25,65,1.00,104.25,1.25%,3.84,$399.98
Texas,USD,188.63,107,2.00,94.32,1.64%,1.80,$169.99
California,USD,238.53,121,3.00,79.51,2.17%,7.30,$580.58
Kansas,USD,10.93,15,0.25,43.71,1.47%,5.26,$229.98
Arizona,USD,39.85,26,1.00,39.85,3.33%,17.57,$699.98
Virginia,USD,26.61,14,1.00,26.61,4.76%,25.55,$679.96
Massachusetts,USD,26.13,15,1.00,26.13,5.56%,9.57,$249.95
Georgia,USD,49.17,35,2.00,24.59,4.35%,17.90,$439.99
Idaho,USD,22.48,9,1.00,22.48,11.11%,15.57,$349.99
Michigan,USD,11.42,15,1.00,11.42,5.00%,59.55,$679.97
Alabama,USD,9.24,7,0.00,0,0.00%,0.00,$0.00
Alaska,USD,6.72,1,0.00,0,0.00%,0.00,$0.00
Arkansas,USD,5.17,5,0.00,0,0.00%,0.00,$0.00
Bangkok,USD,0.00,0,0.00,0,0,0,$0.00
Bogota,USD,0.00,0,0.00,0,0,0,$0.00
Buenos Aires Province,USD,0.00,0,0.00,0,0,0,$0.00
Colorado,USD,27.73,13,0.00,0,0.00%,0.00,$0.00
Connecticut,USD,15.89,7,0.00,0,0.00%,0.00,$0.00
Delaware,USD,1.07,1,0.00,0,0.00%,0.00,$0.00
Demerara-Mahaica,USD,0.00,0,0.00,0,0,0,$0.00
District of Columbia,USD,0.20,0,0.00,0,0.00%,0.00,$0.00
Guanacaste Province,USD,0.00,0,0.00,0,0,0,$0.00
Hawaii,USD,25.16,10,0.00,0,0.00%,0.00,$0.00
Illinois,USD,25.79,24,0.00,0,0.00%,0.00,$0.00
Indiana,USD,8.26,7,0.00,0,0.00%,0.00,$0.00
Iowa,USD,7.27,8,0.00,0,0.00%,0.00,$0.00
Kentucky,USD,2.51,4,0.00,0,0.00%,0.00,$0.00
La Paz Department,USD,0.00,0,0.00,0,0,0,$0.00
Louisiana,USD,32.48,15,0.00,0,0.00%,0.00,$0.00
Maine,USD,3.29,2,0.00,0,0.00%,0.00,$0.00
Manchester Parish,USD,0.00,0,0.00,0,0,0,$0.00
Maryland,USD,3.64,5,0.00,0,0.00%,0.00,$0.00
Minnesota,USD,20.02,31,0.00,0,0.00%,0.00,$0.00
Mississippi,USD,4.58,6,0.00,0,0.00%,0.00,$0.00
Missouri,USD,45.35,20,0.00,0,0.00%,0.00,$0.00
Montana,USD,19.28,11,0.00,0,0.00%,0.00,$0.00
Nebraska,USD,18.51,13,0.00,0,0.00%,0.00,$0.00
Nevada,USD,9.83,7,0.00,0,0.00%,0.00,$0.00
New Hampshire,USD,7.67,4,0.00,0,0.00%,0.00,$0.00
New Jersey,USD,13.57,16,0.00,0,0.00%,0.00,$0.00
New Mexico,USD,16.57,11,0.00,0,0.00%,0.00,$0.00
New South Wales,USD,0.00,0,0.00,0,0,0,$0.00
New York,USD,54.31,22,0.00,0,0.00%,0.00,$0.00
North Carolina,USD,46.88,24,0.00,0,0.00%,0.00,$0.00
North Dakota,USD,3.29,2,0.00,0,0.00%,0.00,$0.00
Ohio,USD,31.38,14,0.00,0,0.00%,0.00,$0.00
Oklahoma,USD,14.54,14,0.00,0,0.00%,0.00,$0.00
Oregon,USD,33.72,20,0.00,0,0.00%,0.00,$0.00
Pennsylvania,USD,37.15,14,0.00,0,0.00%,0.00,$0.00
Queensland,USD,0.00,0,0.00,0,0,0,$0.00
Rhode Island,USD,0.00,0,0.00,0,0,0,$0.00
Saint John,USD,0.00,0,0.00,0,0,0,$0.00
San Francisco Bay Area,USD,80.27,27,0.00,0,0.00%,0.00,$0.00
Silicon Valley,USD,5.72,3,0.00,0,0.00%,0.00,$0.00
South Carolina,USD,17.46,19,0.00,0,0.00%,0.00,$0.00
South Dakota,USD,0.23,1,0.00,0,0.00%,0.00,$0.00
Tennessee,USD,44.73,19,0.00,0,0.00%,0.00,$0.00
Tokyo,USD,0.00,0,0.00,0,0,0,$0.00
U.S. Virgin Islands,USD,0.00,0,0.00,0,0,0,$0.00
Utah,USD,7.18,8,0.00,0,0.00%,0.00,$0.00
Vermont,USD,3.61,2,0.00,0,0.00%,0.00,$0.00
Wales,USD,0.00,0,0.00,0,0,0,$0.00
Washington,USD,96.13,50,0.00,0,0.00%,0.00,$0.00
West Virginia,USD,1.99,3,0.00,0,0.00%,0.00,$0.00
Wisconsin,USD,14.07,12,0.00,0,0.00%,0.00,$0.00
Wyoming,USD,5.44,2,0.00,0,0.00%,0.00,$0.00
