by State View
"January 26, 2026 - February 24, 2026"
Region (User location)	Currency code	Cost	Clicks	Conversions	Cost / conv.	Conv. rate	Conv. value / cost	Avg. Sale
Florida	USD	77.41	38	1.00	77.41	2.17%	5.17	$399.98
California	USD	76.94	47	1.00	76.94	2.04%	0.71	$54.36
Arizona	USD	19.20	18	1.00	19.20	5.26%	36.45	$699.98
Kansas	USD	11.59	7	1.00	11.59	14.29%	19.84	$229.98
Wisconsin	USD	4.40	5	1.00	4.40	16.67%	72.67	$319.99
Ad Dakhiliyah Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Ad Dhahirah Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Al Bahah Province	USD	0.00	0	0.00	0	0	0	$0.00
Al Batinah North Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Al Batinah South Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Al Jowf Province	USD	0.00	0	0.00	0	0	0	$0.00
Al Khobar	USD	0.61	4	0.00	0	0.00%	0.00	$0.00
Al Madinah Province	USD	0.13	1	0.00	0	0.00%	0.00	$0.00
Al Qassim Province	USD	0.12	1	0.00	0	0.00%	0.00	$0.00
Al Wusta Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Alabama	USD	1.98	1	0.00	0	0.00%	0.00	$0.00
Alaska	USD	6.72	1	0.00	0	0.00%	0.00	$0.00
Anambra	USD	1.28	6	0.00	0	0.00%	0.00	$0.00
Arkansas	USD	1.67	3	0.00	0	0.00%	0.00	$0.00
Aseer Province	USD	0.21	1	0.00	0	0.00%	0.00	$0.00
Ash Sharqiyah North Governorate	USD	0.00	0	0.00	0	0	0	$0.00
Ash Sharqiyah South Governorate	USD	0.71	3	0.00	0	0.00%	0.00	$0.00
Balikesir	USD	0.00	0	0.00	0	0	0	$0.00
British Columbia	USD	0.00	0	0.00	0	0	0	$0.00
Busan	USD	0.00	0	0.00	0	0	0	$0.00
Campania	USD	0.00	0	0.00	0	0	0	$0.00
Catalonia	USD	0.00	0	0.00	0	0	0	$0.00
Center District	USD	0.00	0	0.00	0	0	0	$0.00
Chungcheongbuk-do	USD	0.00	0	0.00	0	0	0	$0.00
Chungcheongnam-do	USD	0.40	3	0.00	0	0.00%	0.00	$0.00
City of Zagreb	USD	0.00	0	0.00	0	0	0	$0.00
Colorado	USD	1.26	1	0.00	0	0.00%	0.00	$0.00
Connecticut	USD	3.22	1	0.00	0	0.00%	0.00	$0.00
Daegu	USD	0.00	0	0.00	0	0	0	$0.00
Decentralized Administration of Thessaly and Central Greece	USD	0.00	0	0.00	0	0	0	$0.00
Delaware	USD	0.00	0	0.00	0	0	0	$0.00
Delta	USD	0.00	0	0.00	0	0	0	$0.00
Dhofar Governorate	USD	0.00	0	0.00	0	0	0	$0.00
District of Columbia	USD	0.00	0	0.00	0	0	0	$0.00
Eastern Cape	USD	0.00	0	0.00	0	0	0	$0.00
Eastern Province	USD	0.94	3	0.00	0	0.00%	0.00	$0.00
Edo	USD	1.87	7	0.00	0	0.00%	0.00	$0.00
England	USD	0.00	0	0.00	0	0	0	$0.00
Enugu	USD	0.00	0	0.00	0	0	0	$0.00
Federal Capital Territory	USD	3.77	15	0.00	0	0.00%	0.00	$0.00
Fukushima	USD	0.50	1	0.00	0	0.00%	0.00	$0.00
Gangwon-do	USD	0.00	0	0.00	0	0	0	$0.00
Gauteng	USD	0.46	3	0.00	0	0.00%	0.00	$0.00
Georgia	USD	20.56	6	0.00	0	0.00%	0.00	$0.00
Gwangju	USD	0.00	0	0.00	0	0	0	$0.00
Gyeonggi-do	USD	0.16	1	0.00	0	0.00%	0.00	$0.00
Gyeongsangbuk-do	USD	0.00	0	0.00	0	0	0	$0.00
Gyeongsangnam-do	USD	0.92	1	0.00	0	0.00%	0.00	$0.00
Hail Province	USD	0.00	0	0.00	0	0	0	$0.00
Hawaii	USD	4.85	4	0.00	0	0.00%	0.00	$0.00
Hong Kong	USD	0.00	0	0.00	0	0	0	$0.00
Hyogo	USD	0.00	0	0.00	0	0	0	$0.00
Idaho	USD	3.20	2	0.00	0	0.00%	0.00	$0.00
Illinois	USD	16.12	17	0.00	0	0.00%	0.00	$0.00
Imo	USD	0.00	0	0.00	0	0	0	$0.00
Incheon	USD	0.00	0	0.00	0	0	0	$0.00
Indiana	USD	3.39	3	0.00	0	0.00%	0.00	$0.00
Iowa	USD	2.82	2	0.00	0	0.00%	0.00	$0.00
Jazan Province	USD	0.22	1	0.00	0	0.00%	0.00	$0.00
Jeollanam-do	USD	1.18	2	0.00	0	0.00%	0.00	$0.00
Jeonbuk State	USD	0.30	1	0.00	0	0.00%	0.00	$0.00
Kano	USD	0.00	0	0.00	0	0	0	$0.00
Kayseri	USD	0.00	0	0.00	0	0	0	$0.00
Kentucky	USD	0.43	2	0.00	0	0.00%	0.00	$0.00
Kocaeli	USD	0.00	0	0.00	0	0	0	$0.00
Kowloon	USD	1.11	2	0.00	0	0.00%	0.00	$0.00
KwaZulu-Natal	USD	0.00	0	0.00	0	0	0	$0.00
Kwara	USD	0.00	0	0.00	0	0	0	$0.00
Lagos	USD	10.21	40	0.00	0	0.00%	0.00	$0.00
Limpopo	USD	0.00	0	0.00	0	0	0	$0.00
Louisiana	USD	9.41	10	0.00	0	0.00%	0.00	$0.00
Macao	USD	0.32	1	0.00	0	0.00%	0.00	$0.00
Madrid	USD	0.10	1	0.00	0	0.00%	0.00	$0.00
Maine	USD	0.00	0	0.00	0	0	0	$0.00
Makkah Province	USD	1.02	4	0.00	0	0.00%	0.00	$0.00
Manitoba	USD	0.00	0	0.00	0	0	0	$0.00
Maryland	USD	8.61	3	0.00	0	0.00%	0.00	$0.00
Massachusetts	USD	0.50	2	0.00	0	0.00%	0.00	$0.00
Michigan	USD	11.61	7	0.00	0	0.00%	0.00	$0.00
Minnesota	USD	1.72	5	0.00	0	0.00%	0.00	$0.00
Mississippi	USD	18.20	11	0.00	0	0.00%	0.00	$0.00
Missouri	USD	1.51	3	0.00	0	0.00%	0.00	$0.00
Montana	USD	4.39	3	0.00	0	0.00%	0.00	$0.00
Muscat Governorate	USD	0.85	3	0.00	0	0.00%	0.00	$0.00
Najran Province	USD	0.00	0	0.00	0	0	0	$0.00
Nebraska	USD	5.69	5	0.00	0	0.00%	0.00	$0.00
Nevada	USD	3.82	4	0.00	0	0.00%	0.00	$0.00
New Brunswick	USD	0.20	1	0.00	0	0.00%	0.00	$0.00
New Hampshire	USD	0.00	0	0.00	0	0	0	$0.00
New Jersey	USD	0.91	3	0.00	0	0.00%	0.00	$0.00
New Mexico	USD	2.25	3	0.00	0	0.00%	0.00	$0.00
New Territories	USD	0.40	3	0.00	0	0.00%	0.00	$0.00
New York	USD	49.20	12	0.00	0	0.00%	0.00	$0.00
Niger	USD	0.28	1	0.00	0	0.00%	0.00	$0.00
North Carolina	USD	17.67	11	0.00	0	0.00%	0.00	$0.00
North Dakota	USD	3.29	2	0.00	0	0.00%	0.00	$0.00
North District	USD	0.00	0	0.00	0	0	0	$0.00
Northern Borders Province	USD	0.00	0	0.00	0	0	0	$0.00
Ogun State	USD	0.00	0	0.00	0	0	0	$0.00
Ohio	USD	5.54	4	0.00	0	0.00%	0.00	$0.00
Oklahoma	USD	4.84	5	0.00	0	0.00%	0.00	$0.00
Oregon	USD	3.92	9	0.00	0	0.00%	0.00	$0.00
Osun	USD	0.00	0	0.00	0	0	0	$0.00
Oyo	USD	0.99	3	0.00	0	0.00%	0.00	$0.00
Pennsylvania	USD	3.06	6	0.00	0	0.00%	0.00	$0.00
Plateau	USD	0.63	2	0.00	0	0.00%	0.00	$0.00
Rhode Island	USD	0.00	0	0.00	0	0	0	$0.00
Rivers	USD	4.54	14	0.00	0	0.00%	0.00	$0.00
Riyadh Province	USD	2.18	5	0.00	0	0.00%	0.00	$0.00
San Francisco Bay Area	USD	51.95	14	0.00	0	0.00%	0.00	$0.00
Seoul	USD	0.00	0	0.00	0	0	0	$0.00
Silicon Valley	USD	4.03	2	0.00	0	0.00%	0.00	$0.00
South Carolina	USD	11.36	9	0.00	0	0.00%	0.00	$0.00
South Dakota	USD	6.30	2	0.00	0	0.00%	0.00	$0.00
Tabuk Province	USD	0.00	0	0.00	0	0	0	$0.00
Tel Aviv District	USD	0.00	0	0.00	0	0	0	$0.00
Tennessee	USD	4.43	9	0.00	0	0.00%	0.00	$0.00
Texas	USD	76.25	41	0.00	0	0.00%	0.00	$0.00
Tokyo	USD	0.00	0	0.00	0	0	0	$0.00
U.S. Virgin Islands	USD	0.00	0	0.00	0	0	0	$0.00
Ulsan	USD	0.00	0	0.00	0	0	0	$0.00
Utah	USD	2.75	1	0.00	0	0.00%	0.00	$0.00
Vermont	USD	2.18	1	0.00	0	0.00%	0.00	$0.00
Virginia	USD	9.00	7	0.00	0	0.00%	0.00	$0.00
Washington	USD	40.53	22	0.00	0	0.00%	0.00	$0.00
West Virginia	USD	1.42	3	0.00	0	0.00%	0.00	$0.00
Western Cape	USD	0.00	0	0.00	0	0	0	$0.00
Wyoming	USD	1.48	2	0.00	0	0.00%	0.00	$0.00
